id,marca,modelo,plataforma_compra,calificacion,sentimiento,aspecto_principal,comentario
1,Samsung,Galaxy A55,Amazon,4,Positivo,cámara,El servicio fue excelente y recibí el producto rápidamente
2,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
3,Xiaomi,Redmi Note 14,Amazon,2,Negativo,pantalla,Mala relación calidad precio
4,Motorola,Moto G84,Tienda Oficial Motorola,1,Negativo,cámara,El rendimiento es lento para algunas aplicaciones
5,Samsung,Galaxy S24,Mercado Libre,3,Neutral,servicio al cliente,El producto llegó correctamente aunque tardó algunos días
6,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,precio,Muy buena cámara y excelente rendimiento
7,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,cámara,Muy buena cámara y excelente rendimiento
8,Apple,iPhone 14,Mercado Libre,4,Positivo,precio,La pantalla tiene muy buena calidad y la entrega fue puntual
9,Samsung,Galaxy A35,Amazon,5,Positivo,entrega,"Gran relación calidad precio, recomendado"
10,Motorola,Moto G84,Tienda Oficial Motorola,5,Positivo,precio,La pantalla tiene muy buena calidad y la entrega fue puntual
11,Samsung,Galaxy A55,Mercado Libre,5,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
12,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,2,Negativo,almacenamiento,El rendimiento es lento para algunas aplicaciones
13,Motorola,Moto G84,Amazon,4,Positivo,cámara,Muy buena cámara y excelente rendimiento
14,Xiaomi,Poco X6,Tienda Oficial Xiaomi,2,Negativo,cámara,El rendimiento es lento para algunas aplicaciones
15,Huawei,P60,Amazon,2,Negativo,cámara,Mala relación calidad precio
16,Samsung,Galaxy S24,Mercado Libre,4,Positivo,almacenamiento,Muy buena cámara y excelente rendimiento
17,Motorola,Edge 50,Amazon,4,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
18,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
19,Xiaomi,Poco X6,Amazon,1,Negativo,cámara,La cámara no cumple con lo prometido
20,Apple,iPhone 16e,Tienda Oficial Apple,4,Positivo,entrega,"Gran relación calidad precio, recomendado"
21,Motorola,Moto G54,Mercado Libre,4,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
